Date,Close,High,Low,Open,Volume
1/12/1995,2.80847621,2.831803862,2.80847621,2.831803862,1622700
1/13/1995,2.785764456,2.808477764,2.777784396,2.808477764,1054800
1/16/1995,2.801110268,2.808476493,2.77778314,2.77778314,1716300
1/17/1995,2.785764456,2.81645835,2.785764456,2.793131212,262800
1/18/1995,2.816456556,2.823823044,2.777782627,2.793129433,1524600
1/19/1995,2.839169502,2.839169502,2.801109408,2.801109408,1135800
1/20/1995,2.862496853,2.86986334,2.816456438,2.816456438,764100
1/23/1995,2.869864225,2.869864225,2.823823796,2.839170606,1338300
1/24/1995,2.839169502,2.87784369,2.839169502,2.86986311,1144800
1/25/1995,2.900559425,2.900559425,2.854518975,2.854518975,729900
1/26/1995,2.893190622,2.893190622,2.869862976,2.885209779,547200
1/27/1995,2.877845049,2.885211276,2.869864465,2.885211276,390600
1/30/1995,2.847151041,2.885211152,2.839170721,2.885211152,120600
1/31/1995,2.847151041,2.847151041,2.831804494,2.847151041,2515500
2/1/1995,2.839169502,2.86986311,2.839169502,2.854516569,700200
2/2/1995,2.847151041,2.854517795,2.831804494,2.831804494,1040400
2/3/1995,2.847151041,2.862497851,2.839170721,2.854517795,1023300
2/6/1995,2.847151041,2.862497851,2.847151041,2.847151041,388800
2/7/1995,2.839169502,2.862496623,2.839169502,2.847149819,1313100
2/8/1995,2.839169502,2.847149819,2.831803279,2.839169502,860400
2/9/1995,2.82382226,2.847149377,2.816455774,2.831802839,1436400
2/10/1995,2.82382226,2.831802839,2.82382226,2.82382226,125100
2/13/1995,2.82382226,2.82382226,2.808475195,2.816455774,239400
2/14/1995,2.831803083,2.839169306,2.808475437,2.808475437,387000
2/15/1995,2.839169502,2.847149819,2.823822698,2.823822698,2279700
2/16/1995,2.82382226,2.847149377,2.816455774,2.839169061,608400
2/17/1995,2.816456556,2.831803625,2.816456556,2.823823044,303300
2/20/1995,2.839169502,2.839169502,2.816456212,2.816456212,154800
2/21/1995,2.847151041,2.847151041,2.82382391,2.831804494,191700
2/22/1995,2.854516745,2.862496799,2.831803453,2.831803453,1243800
2/23/1995,2.854516745,2.900557159,2.847149994,2.847149994,410400
2/24/1995,2.854516745,2.854516745,2.839169676,2.839169676,685800
2/27/1995,2.847151041,2.885211152,2.82382391,2.839170721,327600
2/28/1995,2.908538342,2.908538342,2.854517852,2.854517852,421200
3/1/1995,2.862496853,2.908537268,2.862496853,2.908537268,885600
3/2/1995,2.862496853,2.86986334,2.831803506,2.86986334,834300
3/3/1995,2.869864225,2.869864225,2.839170606,2.862497736,162900
3/6/1995,2.913253069,2.921311484,2.866765162,2.866765162,812700
3/7/1995,2.936807394,2.936807394,2.905815717,2.913253539,290700
3/8/1995,2.983295202,2.990733288,2.92874915,2.92874915,674100
3/9/1995,2.998790026,3.006227842,2.983293799,2.983293799,237600
3/10/1995,3.014287472,3.014287472,2.983295532,2.990733619,169200
3/13/1995,3.037220716,3.037220716,2.998790966,2.998790966,92700
3/14/1995,3.068212986,3.068212986,3.021725088,3.021725088,1702800
3/15/1995,3.052716255,3.083708714,3.052716255,3.052716255,421200
3/16/1995,3.021723032,3.060773085,3.021723032,3.052714677,218700
3/17/1995,3.068212986,3.068212986,3.006228856,3.021725088,832500
3/20/1995,3.068212986,3.083709218,3.037220788,3.060775167,738000
3/21/1995,3.083708048,3.09176566,3.068211822,3.068211822,748800
3/22/1995,3.076270103,3.083708719,3.05271626,3.06821249,426600
3/23/1995,3.076270103,3.083708719,3.045278442,3.05271626,517500
3/24/1995,3.099205256,3.099205256,3.052716824,3.068213057,2151900
3/27/1995,3.091765642,3.114699684,3.08370803,3.09920399,412200
3/28/1995,3.099205256,3.107263137,3.083709289,3.099205256,209700
3/29/1995,3.138255596,3.138255596,3.083709545,3.083709545,457200
3/30/1995,3.130195379,3.145691337,3.114699156,3.122757298,897300
3/31/1995,3.083708048,3.122757846,3.076269434,3.122757846,619200
4/3/1995,3.068212986,3.076270601,3.060775167,3.076270601,691200
4/4/1995,3.083708048,3.09176566,3.068211822,3.068211822,770400
4/5/1995,3.076270103,3.099204683,3.076270103,3.083708719,1838700
4/6/1995,3.114701509,3.122759658,3.076271219,3.076271219,1134000
4/7/1995,3.099205256,3.114700956,3.083709289,3.114700956,419400
4/10/1995,3.091765642,3.107261868,3.08370803,3.08370803,305100
4/11/1995,3.029784441,3.099206962,3.021726821,3.091768607,954900
4/12/1995,3.037220716,3.068212914,3.037220716,3.068212914,1307700
4/13/1995,3.037220716,3.045278863,3.014286666,3.045278863,370800
4/17/1995,3.006229639,3.037221579,3.006229639,3.037221579,497700
4/18/1995,3.006229639,3.021725875,2.990733669,3.021725875,110700
4/19/1995,3.006229639,3.014287522,2.998791818,2.998791818,703800
4/20/1995,3.006229639,3.021725875,3.006229639,3.014287522,1240200
4/21/1995,2.990733147,3.014286996,2.990733147,3.014286996,875700
4/24/1995,3.014287472,3.021725825,2.975237383,3.006229589,799200
4/25/1995,3.045278788,3.045278788,3.00622871,3.00622871,388800
4/26/1995,3.014287472,3.037221528,3.006229589,3.037221528,582300
4/27/1995,3.014287472,3.021725825,3.006229589,3.021725825,490500
4/28/1995,2.998790026,3.021724069,2.983293799,3.014285721,315000
5/1/1995,3.091765642,3.091765642,3.014285576,3.014285576,405900
5/2/1995,3.083708048,3.107261886,3.068211822,3.09176566,897300
5/3/1995,3.076270103,3.076270103,3.05271626,3.076270103,135900
5/4/1995,3.083708048,3.107261886,3.060774006,3.076269434,531000
5/5/1995,3.099205256,3.099205256,3.076270672,3.083709289,105300
5/8/1995,3.083708048,3.099204008,3.083708048,3.083708048,573300
5/9/1995,3.083708048,3.099204008,3.083708048,3.083708048,383400
5/10/1995,3.107262611,3.107262611,3.076270152,3.076270152,734400
5/11/1995,3.107262611,3.114700429,3.091766382,3.091766382,784800
5/12/1995,3.130195379,3.130195379,3.099203464,3.099203464,424800
5/15/1995,3.161188602,3.169246216,3.130196411,3.130196411,444600
5/16/1995,3.200239897,3.207677717,3.169247428,3.169247428,1440900
5/17/1995,3.184743166,3.215734832,3.169246934,3.215734832,1961100
5/18/1995,3.184743166,3.192180985,3.169246934,3.184743166,401400
5/19/1995,3.16924715,3.16924715,3.145693302,3.145693302,236700
5/23/1995,3.246726751,3.262222715,3.192180449,3.223172908,927000
5/24/1995,3.20767808,3.26222414,3.200240259,3.238670286,630900
5/25/1995,3.231230021,3.231230021,3.200238364,3.207676181,993600
5/26/1995,3.231230021,3.238668369,3.223172408,3.223172408,244800
5/29/1995,3.262223482,3.262223482,3.238669633,3.238669633,172800
5/30/1995,3.337245703,3.344747934,3.259097413,3.266599913,2027700
5/31/1995,3.329118013,3.337245116,3.313488144,3.337245116,553500
6/1/1995,3.313488483,3.337245459,3.313488483,3.329118355,379800
6/2/1995,3.297858953,3.313488557,3.282229082,3.290356722,1003500
6/5/1995,3.297858953,3.305986594,3.290356722,3.305986594,211500
6/6/1995,3.297858953,3.313488557,3.290356722,3.297858953,927000
6/7/1995,3.266597986,3.297857176,3.266597986,3.282227313,990000
